id,R1-DP,R1-INT,R1-PRESORT,R1-SP,R2-DP,R2-INT,R2-PRESORT,R2-SP
ENSE00000784985 chr2:207435410-207435579 strand=1 len=54.72.44 ccds=CCDS2369.1,99.0,42.0,87.0,146.0,2.0,5.0,16.0,43.0
ENSE00000784986 chr2:207436406-207436575 strand=1 len=45.90.35 ccds=CCDS2369.1,35.0,227.0,34.0,18.0,0.0,113.0,17.0,0.0
ENSE00000784987 chr2:207437789-207437958 strand=1 len=50.81.39 ccds=CCDS2369.1,94.0,73.0,151.0,255.0,167.0,9.0,323.0,484.0
ENSE00000785113 chr1:118482058-118482227 strand=1 len=42.96.32 ccds=CCDS898.1,50.0,866.0,360.0,480.0,123.0,945.0,382.0,454.0
ENSE00000785127 chr1:118493395-118493564 strand=1 len=62.57.51 ccds=CCDS898.1,0.0,8.0,1.0,0.0,0.0,18.0,0.0,0.0
ENSE00000785133 chr1:118495504-118495673 strand=1 len=65.51.54 ccds=CCDS898.1,49.0,0.0,31.0,141.0,41.0,24.0,93.0,119.0
ENSE00000785134 chr1:118496042-118496211 strand=1 len=57.66.47 ccds=CCDS898.1,13.0,4.0,1.0,0.0,13.0,0.0,85.0,48.0
ENSE00000785136 chr1:118497137-118497306 strand=1 len=66.48.56 ccds=CCDS898.1,0.0,0.0,1.0,4.0,0.0,7.0,0.0,0.0
"ENSE00000785206 chr1:119588166-119588335 strand=-1 len=39.81.50 ccds=CCDS900.1,CCDS30817.1",0.0,0.0,2.0,29.0,0.0,0.0,60.0,34.0
"ENSE00000785388 chr2:211527794-211527963 strand=1 len=53.75.42 ccds=CCDS46506.1,CCDS2393.1,CCDS46505.1",0.0,0.0,6.0,9.0,4.0,2.0,14.0,34.0
ENSE00000785770 chr2:219288947-219289116 strand=1 len=53.75.42 ccds=CCDS2417.1,0.0,0.0,3.0,1.0,4.0,0.0,19.0,83.0
"ENSE00000786332 chr2:223787742-223787911 strand=1 len=54.72.44 ccds=CCDS2455.1,CCDS2455.1",0.0,0.0,6.0,7.0,0.0,0.0,1.0,0.0
"ENSE00000788585 chr1:155921470-155921639 strand=-1 len=62.36.72 ccds=CCDS1125.1,CCDS1125.1",10.0,263.0,55.0,2.0,0.0,108.0,62.0,19.0
"ENSE00000790042 chr1:178410643-178410812 strand=1 len=41.99.30 ccds=CCDS1321.1,CCDS1322.1",80.0,52.0,527.0,1191.0,122.0,50.0,624.0,976.0
ENSE00000790592 chr1:182827641-182827810 strand=1 len=45.90.35 ccds=CCDS41444.1,21.0,0.0,72.0,67.0,44.0,2.0,76.0,6.0
ENSE00000790724 chr1:184686636-184686805 strand=-1 len=38.84.48 ccds=CCDS1363.2,21.0,35.0,33.0,0.0,71.0,69.0,120.0,0.0
ENSE00000791239 chr1:201023582-201023751 strand=-1 len=51.57.62 ccds=CCDS1407.1,1082.0,1.0,234.0,9.0,215.0,0.0,110.0,3.0
ENSE00000791281 chr1:201038215-201038384 strand=-1 len=50.60.60 ccds=CCDS1407.1,22.0,0.0,0.0,0.0,72.0,0.0,4.0,0.0
"ENSE00000796058 chr11:118509835-118510004 strand=1 len=45.90.35 ccds=CCDS44750.1,CCDS8401.1",68.0,400.0,61.0,16.0,30.0,111.0,23.0,11.0
ENSE00000796058_001 mut chr11:118509835-118510004 strand=1 len=45.90.35,17.0,414.0,17.0,15.0,9.0,84.0,8.0,15.0
ENSE00000796058_002 mut chr11:118509835-118510004 strand=1 len=45.90.35,11.0,258.0,43.0,43.0,0.0,184.0,61.0,36.0
ENSE00000796058_003 mut chr11:118509835-118510004 strand=1 len=45.90.35,78.0,0.0,11.0,0.0,31.0,1.0,13.0,1.0
ENSE00000796058_004 mut chr11:118509835-118510004 strand=1 len=45.90.35,14.0,237.0,25.0,0.0,0.0,40.0,20.0,0.0
ENSE00000796058_005 mut chr11:118509835-118510004 strand=1 len=45.90.35,1.0,9.0,4.0,11.0,8.0,0.0,11.0,22.0
ENSE00000796058_006 mut chr11:118509835-118510004 strand=1 len=45.90.35,0.0,0.0,20.0,15.0,1.0,6.0,122.0,185.0
ENSE00000796058_007 mut chr11:118509835-118510004 strand=1 len=45.90.35,15.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
ENSE00000796058_008 mut chr11:118509835-118510004 strand=1 len=45.90.35,111.0,13.0,29.0,0.0,0.0,0.0,0.0,0.0
ENSE00000796058_009 mut chr11:118509835-118510004 strand=1 len=45.90.35,30.0,62.0,14.0,0.0,0.0,4.0,0.0,2.0
ENSE00000796058_010 mut chr11:118509835-118510004 strand=1 len=45.90.35,0.0,40.0,38.0,61.0,0.0,0.0,18.0,9.0
ENSE00000796058_011 mut chr11:118509835-118510004 strand=1 len=45.90.35,39.0,7.0,11.0,0.0,50.0,15.0,82.0,0.0
ENSE00000796058_012 mut chr11:118509835-118510004 strand=1 len=45.90.35,0.0,0.0,99.0,46.0,0.0,0.0,6.0,1.0
ENSE00000796058_013 mut chr11:118509835-118510004 strand=1 len=45.90.35,32.0,0.0,13.0,1.0,0.0,13.0,0.0,20.0
ENSE00000796058_014 mut chr11:118509835-118510004 strand=1 len=45.90.35,0.0,0.0,0.0,0.0,15.0,0.0,0.0,5.0
ENSE00000796058_015 mut chr11:118509835-118510004 strand=1 len=45.90.35,0.0,18.0,16.0,19.0,0.0,0.0,0.0,0.0
ENSE00000796058_016 mut chr11:118509835-118510004 strand=1 len=45.90.35,364.0,0.0,67.0,0.0,420.0,0.0,86.0,0.0
ENSE00000796058_017 mut chr11:118509835-118510004 strand=1 len=45.90.35,7.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
ENSE00000796058_018 mut chr11:118509835-118510004 strand=1 len=45.90.35,379.0,0.0,17.0,0.0,74.0,0.0,23.0,4.0
ENSE00000796058_019 mut chr11:118509835-118510004 strand=1 len=45.90.35,123.0,0.0,44.0,0.0,66.0,0.0,56.0,1.0
ENSE00000796058_020 mut chr11:118509835-118510004 strand=1 len=45.90.35,11.0,73.0,35.0,0.0,7.0,16.0,17.0,2.0
ENSE00000796058_021 mut chr11:118509835-118510004 strand=1 len=45.90.35,0.0,9.0,9.0,0.0,1.0,41.0,0.0,35.0
ENSE00000796058_022 mut chr11:118509835-118510004 strand=1 len=45.90.35,187.0,4.0,64.0,0.0,19.0,8.0,14.0,0.0
ENSE00000796058_023 mut chr11:118509835-118510004 strand=1 len=45.90.35,139.0,0.0,24.0,0.0,44.0,0.0,9.0,0.0
ENSE00000796058_024 mut chr11:118509835-118510004 strand=1 len=45.90.35,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
ENSE00000796058_025 mut chr11:118509835-118510004 strand=1 len=45.90.35,17.0,0.0,6.0,0.0,128.0,4.0,24.0,0.0
ENSE00000796058_026 mut chr11:118509835-118510004 strand=1 len=45.90.35,42.0,3.0,119.0,175.0,0.0,4.0,99.0,185.0
ENSE00000796058_027 mut chr11:118509835-118510004 strand=1 len=45.90.35,2.0,88.0,22.0,0.0,0.0,36.0,14.0,12.0
ENSE00000796058_028 mut chr11:118509835-118510004 strand=1 len=45.90.35,2.0,0.0,0.0,11.0,0.0,26.0,14.0,0.0
ENSE00000796058_029 mut chr11:118509835-118510004 strand=1 len=45.90.35,38.0,7.0,16.0,0.0,100.0,0.0,10.0,0.0
ENSE00000796058_030 mut chr11:118509835-118510004 strand=1 len=45.90.35,19.0,51.0,12.0,0.0,0.0,0.0,0.0,0.0
ENSE00000796058_031 mut chr11:118509835-118510004 strand=1 len=45.90.35,0.0,123.0,18.0,0.0,0.0,2.0,0.0,0.0
ENSE00000796058_032 mut chr11:118509835-118510004 strand=1 len=45.90.35,277.0,31.0,40.0,6.0,259.0,0.0,55.0,11.0
ENSE00000796058_033 mut chr11:118509835-118510004 strand=1 len=45.90.35,2.0,97.0,8.0,0.0,1.0,228.0,25.0,41.0
ENSE00000796058_034 mut chr11:118509835-118510004 strand=1 len=45.90.35,173.0,0.0,23.0,0.0,80.0,0.0,31.0,10.0
ENSE00000796058_035 mut chr11:118509835-118510004 strand=1 len=45.90.35,72.0,0.0,25.0,0.0,1.0,0.0,0.0,0.0
ENSE00000796058_036 mut chr11:118509835-118510004 strand=1 len=45.90.35,0.0,0.0,10.0,1.0,0.0,0.0,13.0,41.0
ENSE00000796058_037 mut chr11:118509835-118510004 strand=1 len=45.90.35,0.0,11.0,9.0,28.0,0.0,0.0,17.0,4.0
ENSE00000796058_038 mut chr11:118509835-118510004 strand=1 len=45.90.35,178.0,8.0,84.0,21.0,30.0,0.0,19.0,34.0
ENSE00000796058_039 mut chr11:118509835-118510004 strand=1 len=45.90.35,108.0,0.0,35.0,0.0,35.0,0.0,11.0,0.0
ENSE00000796058_040 mut chr11:118509835-118510004 strand=1 len=45.90.35,17.0,0.0,25.0,0.0,25.0,0.0,16.0,0.0
ENSE00000796058_041 mut chr11:118509835-118510004 strand=1 len=45.90.35,106.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0
ENSE00000796058_042 mut chr11:118509835-118510004 strand=1 len=45.90.35,17.0,9.0,29.0,4.0,0.0,1.0,0.0,0.0
ENSE00000796058_043 mut chr11:118509835-118510004 strand=1 len=45.90.35,6.0,423.0,36.0,18.0,0.0,168.0,23.0,0.0
ENSE00000796058_044 mut chr11:118509835-118510004 strand=1 len=45.90.35,139.0,7.0,62.0,0.0,33.0,1.0,31.0,0.0
ENSE00000796058_045 mut chr11:118509835-118510004 strand=1 len=45.90.35,125.0,0.0,9.0,1.0,25.0,0.0,9.0,0.0
ENSE00000796058_046 mut chr11:118509835-118510004 strand=1 len=45.90.35,139.0,0.0,20.0,0.0,60.0,0.0,11.0,0.0
ENSE00000796058_047 mut chr11:118509835-118510004 strand=1 len=45.90.35,0.0,0.0,2.0,0.0,240.0,0.0,94.0,0.0
ENSE00000796058_048 mut chr11:118509835-118510004 strand=1 len=45.90.35,0.0,46.0,17.0,0.0,0.0,2.0,0.0,6.0
ENSE00000796058_049 mut chr11:118509835-118510004 strand=1 len=45.90.35,32.0,7.0,4.0,0.0,0.0,0.0,3.0,0.0
ENSE00000796058_050 mut chr11:118509835-118510004 strand=1 len=45.90.35,21.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
ENSE00000796058_051 mut chr11:118509835-118510004 strand=1 len=45.90.35,101.0,0.0,19.0,0.0,55.0,0.0,24.0,0.0
ENSE00000796058_052 mut chr11:118509835-118510004 strand=1 len=45.90.35,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0
ENSE00000796058_053 mut chr11:118509835-118510004 strand=1 len=45.90.35,2.0,7.0,12.0,0.0,53.0,4.0,77.0,21.0
ENSE00000796058_054 mut chr11:118509835-118510004 strand=1 len=45.90.35,74.0,19.0,22.0,10.0,37.0,0.0,4.0,0.0
ENSE00000796058_055 mut chr11:118509835-118510004 strand=1 len=45.90.35,29.0,0.0,57.0,0.0,99.0,22.0,108.0,8.0
ENSE00000796058_056 mut chr11:118509835-118510004 strand=1 len=45.90.35,72.0,0.0,5.0,0.0,3.0,0.0,5.0,0.0
ENSE00000796058_057 mut chr11:118509835-118510004 strand=1 len=45.90.35,313.0,6.0,55.0,0.0,129.0,0.0,46.0,0.0
ENSE00000796058_058 mut chr11:118509835-118510004 strand=1 len=45.90.35,142.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0
ENSE00000796058_059 mut chr11:118509835-118510004 strand=1 len=45.90.35,14.0,142.0,35.0,6.0,0.0,0.0,10.0,0.0
ENSE00000796058_061 mut chr11:118509835-118510004 strand=1 len=45.90.35,21.0,0.0,6.0,0.0,0.0,0.0,11.0,0.0
ENSE00000796058_062 mut chr11:118509835-118510004 strand=1 len=45.90.35,28.0,11.0,33.0,0.0,8.0,0.0,11.0,0.0
ENSE00000796058_063 mut chr11:118509835-118510004 strand=1 len=45.90.35,66.0,1.0,11.0,0.0,230.0,0.0,66.0,0.0
ENSE00000796058_064 mut chr11:118509835-118510004 strand=1 len=45.90.35,91.0,0.0,19.0,0.0,8.0,0.0,0.0,0.0
ENSE00000796058_065 mut chr11:118509835-118510004 strand=1 len=45.90.35,19.0,0.0,22.0,0.0,0.0,18.0,10.0,0.0
ENSE00000796058_066 mut chr11:118509835-118510004 strand=1 len=45.90.35,0.0,12.0,11.0,0.0,0.0,44.0,1.0,0.0
ENSE00000796058_067 mut chr11:118509835-118510004 strand=1 len=45.90.35,11.0,136.0,10.0,41.0,0.0,44.0,2.0,0.0
ENSE00000796058_068 mut chr11:118509835-118510004 strand=1 len=45.90.35,2.0,28.0,76.0,107.0,25.0,0.0,198.0,133.0
ENSE00000796058_069 mut chr11:118509835-118510004 strand=1 len=45.90.35,19.0,134.0,32.0,10.0,3.0,45.0,29.0,35.0
ENSE00000796058_070 mut chr11:118509835-118510004 strand=1 len=45.90.35,850.0,0.0,149.0,0.0,201.0,8.0,90.0,25.0
ENSE00000796058_071 mut chr11:118509835-118510004 strand=1 len=45.90.35,0.0,0.0,5.0,17.0,0.0,0.0,0.0,0.0
ENSE00000796058_072 mut chr11:118509835-118510004 strand=1 len=45.90.35,5.0,0.0,12.0,0.0,34.0,287.0,40.0,28.0
ENSE00000796058_073 mut chr11:118509835-118510004 strand=1 len=45.90.35,805.0,13.0,206.0,18.0,365.0,8.0,155.0,0.0
ENSE00000796058_074 mut chr11:118509835-118510004 strand=1 len=45.90.35,430.0,14.0,88.0,0.0,436.0,45.0,168.0,23.0
ENSE00000796058_075 mut chr11:118509835-118510004 strand=1 len=45.90.35,22.0,82.0,7.0,0.0,14.0,142.0,37.0,10.0
ENSE00000796058_076 mut chr11:118509835-118510004 strand=1 len=45.90.35,15.0,0.0,11.0,0.0,4.0,0.0,7.0,0.0
"ENSE00000796206 chr11:119230840-119231009 strand=-1 len=54.51.65 ccds=CCDS8423.1,CCDS8422.1",9.0,0.0,37.0,10.0,64.0,8.0,130.0,71.0
ENSE00000796390 chr1:200524466-200524635 strand=-1 len=42.75.53 ccds=CCDS30963.1,5.0,26.0,14.0,0.0,13.0,0.0,8.0,0.0
ENSE00000796412 chr1:200577928-200578097 strand=-1 len=30.99.41 ccds=CCDS30963.1,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
ENSE00000797116 chr1:150234882-150235051 strand=1 len=42.96.32 ccds=CCDS947.1,450.0,15.0,98.0,7.0,83.0,0.0,8.0,0.0
"ENSE00000797323 chr5:162898144-162898313 strand=1 len=47.87.36 ccds=CCDS4362.1,CCDS47335.1,CCDS47334.1,CCDS4363.1",469.0,0.0,137.0,3.0,211.0,0.0,82.0,0.0
ENSE00000797565 chr11:74676031-74676200 strand=1 len=48.84.38 ccds=CCDS44681.1,1.0,11.0,20.0,22.0,0.0,6.0,27.0,59.0
"ENSE00000798003 chr6:79913243-79913412 strand=-1 len=54.51.65 ccds=CCDS4988.1,CCDS4989.1",0.0,0.0,17.0,28.0,2.0,2.0,18.0,18.0
ENSE00000798017 chr6:80406152-80406321 strand=1 len=50.81.39 ccds=CCDS4991.1,0.0,0.0,53.0,87.0,36.0,6.0,25.0,24.0
ENSE00000798321 chr1:67101573-67101742 strand=1 len=54.72.44 ccds=CCDS30744.1,171.0,0.0,58.0,0.0,51.0,0.0,3.0,0.0
ENSE00000798322 chr1:67105398-67105567 strand=1 len=62.57.51 ccds=CCDS30744.1,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
ENSE00000798322_001 mut chr1:67105398-67105567 strand=1 len=62.57.51,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0
ENSE00000798322_002 mut chr1:67105398-67105567 strand=1 len=62.57.51,21.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ENSE00000798322_003 mut chr1:67105398-67105567 strand=1 len=62.57.51,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
ENSE00000798322_006 mut chr1:67105398-67105567 strand=1 len=62.57.51,25.0,0.0,12.0,6.0,0.0,0.0,44.0,18.0
ENSE00000798322_007 mut chr1:67105398-67105567 strand=1 len=62.57.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
ENSE00000798322_011 mut chr1:67105398-67105567 strand=1 len=62.57.51,0.0,0.0,2.0,19.0,0.0,0.0,4.0,0.0
ENSE00000798322_012 mut chr1:67105398-67105567 strand=1 len=62.57.51,0.0,2.0,8.0,33.0,0.0,0.0,5.0,3.0
ENSE00000798322_013 mut chr1:67105398-67105567 strand=1 len=62.57.51,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSE00000798322_017 mut chr1:67105398-67105567 strand=1 len=62.57.51,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0
ENSE00000798322_018 mut chr1:67105398-67105567 strand=1 len=62.57.51,9.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
ENSE00000798322_019 mut chr1:67105398-67105567 strand=1 len=62.57.51,0.0,0.0,35.0,75.0,8.0,0.0,5.0,37.0
ENSE00000798322_021 mut chr1:67105398-67105567 strand=1 len=62.57.51,0.0,0.0,21.0,18.0,9.0,4.0,16.0,49.0
ENSE00000798322_022 mut chr1:67105398-67105567 strand=1 len=62.57.51,0.0,0.0,0.0,0.0,0.0,0.0,5.0,39.0
ENSE00000798322_023 mut chr1:67105398-67105567 strand=1 len=62.57.51,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSE00000798322_024 mut chr1:67105398-67105567 strand=1 len=62.57.51,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0
ENSE00000798322_028 mut chr1:67105398-67105567 strand=1 len=62.57.51,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSE00000798322_031 mut chr1:67105398-67105567 strand=1 len=62.57.51,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
ENSE00000798322_033 mut chr1:67105398-67105567 strand=1 len=62.57.51,0.0,13.0,0.0,4.0,0.0,0.0,0.0,0.0
ENSE00000798322_034 mut chr1:67105398-67105567 strand=1 len=62.57.51,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
ENSE00000798322_035 mut chr1:67105398-67105567 strand=1 len=62.57.51,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0
ENSE00000798322_036 mut chr1:67105398-67105567 strand=1 len=62.57.51,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0
ENSE00000798322_039 mut chr1:67105398-67105567 strand=1 len=62.57.51,18.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
ENSE00000798322_041 mut chr1:67105398-67105567 strand=1 len=62.57.51,0.0,34.0,2.0,0.0,0.0,0.0,0.0,0.0
ENSE00000798322_042 mut chr1:67105398-67105567 strand=1 len=62.57.51,684.0,0.0,186.0,0.0,277.0,14.0,98.0,0.0
ENSE00000798322_043 mut chr1:67105398-67105567 strand=1 len=62.57.51,96.0,0.0,1.0,0.0,45.0,0.0,29.0,0.0
ENSE00000798322_045 mut chr1:67105398-67105567 strand=1 len=62.57.51,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSE00000798322_047 mut chr1:67105398-67105567 strand=1 len=62.57.51,24.0,10.0,0.0,7.0,7.0,0.0,0.0,0.0
ENSE00000798322_050 mut chr1:67105398-67105567 strand=1 len=62.57.51,0.0,4.0,30.0,23.0,16.0,0.0,14.0,6.0
ENSE00000798322_056 mut chr1:67105398-67105567 strand=1 len=62.57.51,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0
ENSE00000798322_057 mut chr1:67105398-67105567 strand=1 len=62.57.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
ENSE00000798322_058 mut chr1:67105398-67105567 strand=1 len=62.57.51,199.0,0.0,24.0,10.0,14.0,0.0,0.0,0.0
ENSE00000798322_059 mut chr1:67105398-67105567 strand=1 len=62.57.51,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSE00000798322_064 mut chr1:67105398-67105567 strand=1 len=62.57.51,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
ENSE00000798322_066 mut chr1:67105398-67105567 strand=1 len=62.57.51,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
ENSE00000798322_067 mut chr1:67105398-67105567 strand=1 len=62.57.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
ENSE00000798322_068 mut chr1:67105398-67105567 strand=1 len=62.57.51,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ENSE00000798322_070 mut chr1:67105398-67105567 strand=1 len=62.57.51,33.0,0.0,18.0,41.0,0.0,0.0,1.0,8.0
ENSE00000798322_071 mut chr1:67105398-67105567 strand=1 len=62.57.51,0.0,0.0,9.0,7.0,0.0,0.0,0.0,0.0
ENSE00000798322_072 mut chr1:67105398-67105567 strand=1 len=62.57.51,358.0,2.0,148.0,11.0,22.0,8.0,17.0,11.0
ENSE00000798322_073 mut chr1:67105398-67105567 strand=1 len=62.57.51,61.0,0.0,17.0,5.0,52.0,0.0,20.0,0.0
ENSE00000798322_074 mut chr1:67105398-67105567 strand=1 len=62.57.51,216.0,0.0,69.0,2.0,52.0,0.0,2.0,0.0
ENSE00000798322_075 mut chr1:67105398-67105567 strand=1 len=62.57.51,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
ENSE00000798322_078 mut chr1:67105398-67105567 strand=1 len=62.57.51,38.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0
"ENSE00000798457 chr1:70700335-70700504 strand=1 len=44.93.33 ccds=CCDS647.1,CCDS647.1",177.0,7.0,20.0,0.0,25.0,0.0,4.0,0.0
ENSE00000799372 chr4:25395380-25395549 strand=1 len=47.87.36 ccds=CCDS3434.1,172.0,7.0,36.0,2.0,145.0,15.0,45.0,0.0
"ENSE00000799432 chr18:197566-197735 strand=1 len=50.81.39 ccds=CCDS32781.1,CCDS32780.1",1.0,7.0,64.0,126.0,2.0,2.0,14.0,44.0
"ENSE00000799435 chr18:202823-202992 strand=1 len=57.66.47 ccds=CCDS32781.1,CCDS32780.1",9.0,64.0,60.0,168.0,121.0,15.0,115.0,176.0
"ENSE00000799436 chr18:203054-203223 strand=1 len=44.93.33 ccds=CCDS32781.1,CCDS32780.1",2.0,14.0,142.0,335.0,33.0,19.0,185.0,392.0
ENSE00000799533 chr18:2927685-2927854 strand=-1 len=35.90.45 ccds=CCDS11829.1,29.0,247.0,18.0,26.0,5.0,320.0,106.0,35.0
ENSE00000799548 chr18:2954470-2954639 strand=-1 len=32.96.42 ccds=CCDS11829.1,2.0,2.0,32.0,54.0,4.0,0.0,9.0,30.0
ENSE00000800090 chr1:115138394-115138563 strand=-1 len=59.42.69 ccds=CCDS875.1,94.0,27.0,75.0,139.0,0.0,1.0,22.0,34.0
ENSE00000800094 chr1:115144088-115144257 strand=-1 len=41.78.51 ccds=CCDS875.1,11.0,9.0,66.0,230.0,1.0,0.0,29.0,58.0
"ENSE00000801158 chr4:88901476-88901645 strand=1 len=69.42.59 ccds=CCDS34027.1,CCDS43250.1",19.0,0.0,28.0,24.0,129.0,7.0,9.0,0.0
ENSE00000801172 chr4:88983017-88983186 strand=1 len=41.99.30 ccds=CCDS3627.1,0.0,18.0,16.0,45.0,0.0,36.0,23.0,10.0
ENSE00000801180 chr4:89016637-89016806 strand=-1 len=35.90.45 ccds=CCDS3628.1,52.0,116.0,394.0,924.0,43.0,23.0,181.0,394.0
ENSE00000801437 chr4:103458974-103459143 strand=1 len=41.99.30 ccds=CCDS3657.1,19.0,67.0,251.0,416.0,39.0,29.0,255.0,427.0
ENSE00000801523 chr4:106359071-106359240 strand=-1 len=36.87.47 ccds=CCDS3667.1,16.0,271.0,19.0,0.0,0.0,33.0,11.0,0.0
ENSE00000801676 chr3:158431538-158431707 strand=-1 len=48.63.59 ccds=CCDS3184.1,35.0,28.0,95.0,371.0,0.0,5.0,85.0,98.0
ENSE00000801827 chr1:220331102-220331271 strand=-1 len=42.75.53 ccds=CCDS31028.1,8.0,58.0,82.0,129.0,16.0,2.0,132.0,71.0
ENSE00000802182 chr16:4947644-4947813 strand=-1 len=32.96.42 ccds=CCDS10526.1,0.0,0.0,18.0,10.0,0.0,0.0,6.0,27.0
ENSE00000802193 chr16:4938941-4939110 strand=-1 len=38.84.48 ccds=CCDS10526.1,17.0,49.0,96.0,236.0,27.0,16.0,68.0,193.0
ENSE00000802195 chr16:4937103-4937272 strand=-1 len=33.93.44 ccds=CCDS10526.1,0.0,0.0,21.0,59.0,0.0,0.0,5.0,15.0
ENSE00000803829 chr9:77418677-77418846 strand=-1 len=33.93.44 ccds=CCDS6647.1,162.0,0.0,48.0,0.0,174.0,0.0,55.0,0.0
ENSE00000803947 chr9:82227512-82227681 strand=1 len=59.63.48 ccds=CCDS43837.1,12.0,3.0,281.0,766.0,4.0,15.0,176.0,369.0
ENSE00000804055 chr9:86912095-86912264 strand=-1 len=41.78.51 ccds=CCDS6670.1,24.0,0.0,46.0,68.0,0.0,0.0,59.0,92.0
ENSE00000804061 chr9:86928242-86928411 strand=-1 len=32.96.42 ccds=CCDS6670.1,56.0,17.0,141.0,337.0,22.0,16.0,168.0,359.0
ENSE00000804084 chr9:88591535-88591704 strand=1 len=65.51.54 ccds=CCDS6673.1,38.0,19.0,11.0,0.0,6.0,0.0,3.0,0.0
ENSE00000804107 chr9:88924086-88924255 strand=-1 len=41.78.51 ccds=CCDS35057.1,47.0,0.0,5.0,0.0,6.0,0.0,12.0,0.0
ENSE00000804707 chr2:9994413-9994582 strand=1 len=42.96.32 ccds=CCDS33143.1,0.0,14.0,8.0,39.0,0.0,22.0,21.0,27.0
"ENSE00000804941 chr9:99301312-99301481 strand=-1 len=48.63.59 ccds=CCDS6722.1,CCDS6721.1,CCDS43853.1",3.0,51.0,69.0,139.0,4.0,33.0,36.0,102.0
ENSE00000805646 chr9:100237618-100237787 strand=1 len=47.87.36 ccds=CCDS6725.1,0.0,95.0,84.0,80.0,1.0,42.0,77.0,90.0
"ENSE00000805738 chr9:102691003-102691172 strand=1 len=57.66.47 ccds=CCDS6745.1,CCDS6745.1,CCDS6745.1",4.0,31.0,84.0,222.0,3.0,9.0,70.0,51.0
ENSE00000805784 chr9:103072542-103072711 strand=-1 len=39.81.50 ccds=CCDS6748.1,4.0,0.0,97.0,164.0,32.0,21.0,257.0,453.0
"ENSE00000805933 chr9:108147653-108147822 strand=1 len=50.81.39 ccds=CCDS6763.1,CCDS6763.1",124.0,20.0,32.0,0.0,193.0,7.0,102.0,0.0
ENSE00000805982 chr9:111705203-111705372 strand=-1 len=38.84.48 ccds=CCDS6775.1,0.0,1.0,31.0,112.0,0.0,5.0,26.0,22.0
ENSE00000805986 chr9:111706191-111706360 strand=-1 len=51.57.62 ccds=CCDS6775.1,13.0,43.0,55.0,148.0,7.0,13.0,109.0,150.0
ENSE00000805998 chr9:111732649-111732818 strand=-1 len=33.93.44 ccds=CCDS6775.1,24.0,45.0,71.0,69.0,0.0,3.0,29.0,111.0
ENSE00000806005 chr9:111746592-111746761 strand=-1 len=35.90.45 ccds=CCDS6775.1,83.0,123.0,206.0,390.0,117.0,24.0,306.0,373.0
ENSE00000806005_001 mut chr9:111746592-111746761 strand=-1 len=35.90.45,86.0,18.0,13.0,0.0,87.0,0.0,25.0,0.0
ENSE00000806005_002 mut chr9:111746592-111746761 strand=-1 len=35.90.45,14.0,2.0,52.0,54.0,3.0,0.0,26.0,33.0
ENSE00000806005_003 mut chr9:111746592-111746761 strand=-1 len=35.90.45,37.0,7.0,99.0,190.0,40.0,2.0,127.0,247.0
ENSE00000806005_004 mut chr9:111746592-111746761 strand=-1 len=35.90.45,0.0,0.0,45.0,219.0,18.0,5.0,101.0,182.0
ENSE00000806005_005 mut chr9:111746592-111746761 strand=-1 len=35.90.45,143.0,136.0,410.0,794.0,23.0,34.0,409.0,643.0
